rank,ID,name,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
586,27364,caylus-magna-carta,Hand Management|Worker Placement,Caylus|Ystari originals,Card Game|City Building|Economic|Medieval,4430,6.97108,6.70229,6114,0|0|42,14|48|19,51|25|1,46|28|2,0|3|35,0|0|0|0|0|2|7|5|1,30|0|0|0|0,0,2
587,4099,keythedral,Auction/Bidding|Modular Board|Set Collection|Tile Placement|Worker Placement,Key-series,City Building|Medieval,2809,7.09817,6.70217,3215,0|0|28,1|18|11,12|19|1,26|8|0,NA,0|0|0|0|0|0|2|3|1,2|3|9|1|0,0,2
588,156546,monikers,Acting|Card Drafting|Role Playing,Crowdfunding: Kickstarter,Card Game|Humor|Mature / Adult|Party Game|Print & Play,1086,7.79075,6.69962,2322,0|0|4,0|0|4,0|0|4,0|3|2,NA,0|0|0|0|0|0|0|0|0,0|0|1|3|0,0,1
589,327,loopin-louie,Player Elimination,Animals: Chickens|Celebrities: Walt Disney|Toy Story,Action / Dexterity|Animals|Aviation / Flight|Children's Game|Electronic|Movies / TV / Radio theme|Real-time,6686,6.88716,6.69935,8043,0|3|95,6|60|46,3|38|69,120|2|0,0|1|81,2|20|28|6|2|1|0|0|0,41|0|0|0|0,0,1
590,124,primordial-soup,Dice Rolling|Grid Movement|Player Elimination|Variable Phase Order|Variable Player Powers,Admin: Better Description Needed!|Evolution,Prehistoric,4250,6.97858,6.69934,4880,0|0|35,0|6|33,12|39|8,55|8|0,1|5|24,0|0|0|0|0|0|3|9|1,0|0|19|0|0,0,2
591,1634,warhammer-quest,Co-operative Play|Dice Rolling|Modular Board|Role Playing,Solitaire Games|Warhammer Fantasy Board Games,Adventure|Fantasy,2011,7.41225,6.69723,2594,3|8|11,6|9|6,3|15|4,23|6|0,4|10|3,0|0|0|0|0|2|4|6|4,0|1|1|13|0,0,2
592,136991,loony-quest,Line Drawing,"",Action / Dexterity|Fantasy|Real-time,2761,7.12994,6.69576,4201,0|3|13,3|15|3,10|15|0,21|2|0,NA,0|0|0|0|8|10|0|0|0,19|1|0|0|0,0,1
593,34084,witchs-brew,Hand Management|Simultaneous Action Selection,Alea Medium Box|Witches,Bluffing|Card Game|Fantasy,3321,7.04568,6.69515,3336,0|0|36,0|1|34,1|28|36,14|57|1,NA,0|0|0|0|0|5|5|1|1,3|18|8|0|0,0,1
594,200147,kanagawa,Card Drafting|Pattern Building|Press Your Luck|Set Collection|Worker Placement,Country: Japan|Visual Arts: Painting,"",1888,7.33667,6.69279,3315,0|0|15,2|15|9,9|12|0,15|7|1,0|0|12,0|0|0|0|0|6|2|0|0,4|0|0|0|0,0,2
595,171233,big-book-madness,Co-operative Play|Deck / Pool Building|Hand Management|Player Elimination|Variable Player Powers,"",Card Game|Fantasy,2584,7.17547,6.69261,4848,0|10|9,10|18|1,19|10|1,7|17|2,NA,0|0|0|0|0|1|2|6|2,0|0|9|1|0,0,2
596,121410,steam-park,Card Drafting|Dice Rolling|Memory|Modular Board,3D Games|Steampunk,City Building|Dice|Real-time|Science Fiction,4129,6.97987,6.69112,6431,0|2|18,4|34|5,15|24|1,29|11|4,0|0|12,0|0|0|0|2|3|7|1|1,1|14|1|0|0,0,2
597,68264,no-retreat-russian-front,Campaign / Battle Card Driven|Dice Rolling|Hex-and-Counter|Simulation,No Retreat series|Solitaire Games|Solitaire Wargames,Wargame|World War II,1058,7.82326,6.69105,2332,1|18|1,23|0|0,NA,NA,NA,0|0|0|0|0|0|0|6|4,0|0|8|1|0,0,3
598,8203,hey-s-my-fish,Area Enclosure|Grid Movement|Modular Board,Animals: Fishes|Animals: Penguins|Antarctic Theme|Sports: Fishing / Angling,Abstract Strategy|Animals,15474,6.77228,6.68956,18927,0|2|135,90|119|7,123|75|10,54|117|28,0|2|115,0|2|7|28|38|19|3|0|0,68|0|0|0|0,0,1
599,25669,qwirkle,Hand Management|Pattern Building|Tile Placement,Mensa Select|Qwirkle,Abstract Strategy,10599,6.81703,6.68816,17362,0|6|72,38|75|5,45|64|2,68|41|7,4|25|52,0|0|5|10|28|14|5|0|0,57|0|0|0|0,0,1
600,230,merchant-venus,Commodity Speculation|Dice Rolling|Pick-up and Deliver|Point to Point Movement|Roll / Spin and Move,Solitaire Games,Economic|Exploration|Science Fiction|Space Exploration|Transportation,2429,7.17516,6.687,2879,0|12|34,3|28|25,26|29|5,30|27|7,NA,0|0|0|0|1|2|2|3|1,2|9|1|0|0,0,2
601,30618,eat-poop-you-cat,Line Drawing|Paper-and-Pencil,"",Humor|Party Game,1390,7.48637,6.68596,724,1|0|32,0|1|33,0|2|31,0|5|28,NA,0|0|0|0|1|6|0|1|0,12|0|0|1|1,0,1
602,158600,hanamikoji,Action / Movement Programming|Area Control / Area Influence|Card Drafting|Hand Management,Asian Theme|Country: Japan,Card Game|Medieval,1236,7.62724,6.68483,2635,0|0|13,15|0|0,NA,NA,NA,0|0|0|0|0|6|1|0|0,5|0|0|0|0,0,1
603,37628,haggis,Betting/Wagering|Hand Management|Trick-taking,Climbing Games|Country: Scotland|Games by the Game Artisans of Canada|Postcard Box Games|Shedding Games|Traditional Card Games,Card Game,3283,7.02955,6.68438,5116,0|0|32,49|17|0,22|35|5,NA,NA,0|0|0|0|0|0|6|3|0,21|1|0|0|0,0,2
