rank,ID,name,mechanics,families,categories,n.ratings,rating
120,38453,space-alert,Action / Movement Programming|Area Movement|Co-operative Play|Hand Management|Simultaneous Action Selection,CD Board Games|Solitaire Games,Electronic|Real-time|Science Fiction|Space Exploration,11971,7.52746
121,12,ra,Auction/Bidding|Press Your Luck|Set Collection,Alea Big Box|Country: Egypt|Ra,Ancient|Mythology,15538,7.47488
122,59294,runewars,Area Control / Area Influence|Area Movement|Auction/Bidding|Modular Board|Simultaneous Action Selection|Variable Player Powers,4X games|Fantasy Flight Big Box|The Realms of Terrinoth,Adventure|Fantasy|Fighting|Wargame,6517,7.69622
123,54998,cyclades,Area Control / Area Influence|Area Movement|Auction/Bidding|Card Drafting|Dice Rolling|Set Collection|Variable Phase Order,Country: Greece|Cyclades|Islands: Cyclades,Ancient|City Building|Civilization|Fighting|Miniatures|Mythology|Nautical,12328,7.53846
124,7854,yinsh,Grid Movement|Pattern Building,Combinatorial|GIPF Project|Mensa Select,Abstract Strategy,5431,7.68147
125,172818,above-and-below,Action Point Allowance System|Card Drafting|Deck / Pool Building|Dice Rolling|Set Collection|Storytelling|Trading,Arzium Setting|Crowdfunding: Kickstarter,Adventure|Book|City Building|Economic|Exploration|Fantasy|Farming|Negotiation,5938,7.67804
126,127060,bora-bora,Dice Rolling|Set Collection|Worker Placement,Alea Big Box|Country: French Polynesia|Oceanian Theme|Tropical theme,Dice,6617,7.60778
127,181304,mysterium,Co-operative Play|Hand Management|Pattern Recognition,Ghosts|Mysterium,Deduction|Murder/Mystery|Party Game,12839,7.52389
128,19857,glory-rome,Card Drafting|Hand Management|Set Collection|Variable Phase Order,Ancient Rome|Cities: Rome|Crowdfunding: Kickstarter|Tableau Building,Ancient|Card Game|City Building|Economic,10969,7.5009
129,822,carcassonne,Area Control / Area Influence|Tile Placement,Carcassonne|Country: France,City Building|Medieval|Territory Building,68289,7.43554
130,48726,alien-frontiers,Area Control / Area Influence|Card Drafting|Dice Rolling|Worker Placement,Aliens|Crowdfunding: Kickstarter|Crowdfunding: ulule,Dice|Science Fiction,11456,7.49638
131,118048,targi,Modular Board|Set Collection|Worker Placement,Continent: Africa|Desert Theme|Kosmos two-player series,Arabian|Card Game,6183,7.61647
132,17392,here-i-stand,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Point to Point Movement|Variable Player Powers,Cities: Ravenna (Italy)|Country: England|Country: France|Country: Holy Roman Empire|Country: Italy|Country: Spain|Country: Turkey,Negotiation|Political|Religious|Renaissance|Wargame,2924,7.94066
133,25021,sekigahara-unification-japan,Hand Management|Point to Point Movement|Secret Unit Deployment,Asian Theme|Block wargames|Country: Japan,Civil War|Renaissance|Wargame,2357,8.06737
134,182874,grand-austria-hotel,Dice Rolling|Set Collection,Cities: Vienna,Economic,4075,7.77112
135,108745,seasons,Card Drafting|Dice Rolling|Hand Management|Take That,Kingdom of Xidit,Card Game|Dice|Fantasy,14203,7.46646
136,92828,dixit-odyssey,Partnerships|Simultaneous Action Selection|Storytelling|Voting,Dixit,Humor|Party Game,10102,7.52772
137,41114,resistance,Partnerships|Simultaneous Action Selection|Voting,Dystopian Universe|Postcard Box Games|Werewolf / Mafia,Bluffing|Deduction|Negotiation|Party Game|Science Fiction|Spies/Secret Agents,26057,7.42506
138,66589,navegador,Area Movement,Colonial Theme|Country: Portugal|Rondel Series,Economic|Exploration|Nautical|Renaissance,6195,7.58821
139,181279,fury-dracula-third-edition,Partnerships|Point to Point Movement|Secret Unit Deployment|Variable Player Powers,Vampires,Adventure|Deduction|Fighting|Horror|Novel-based,4837,7.71318
140,77130,sid-meiers-civilization-board-game,Card Drafting|Deck / Pool Building|Grid Movement|Hand Management|Modular Board|Rock-Paper-Scissors|Simultaneous Action Selection|Trading|Variable Player Powers,4X games|Civilization,City Building|Civilization|Exploration|Negotiation|Video Game Theme,11498,7.50661
141,155873,power-grid-deluxe-europenorth-america,Auction/Bidding|Route/Network Building,Country: Austria|Country: Canada|Country: Finland|Country: Germany|Country: Greece|Country: Ireland|Country: Italy|Country: Mexico|Country: Norway|Country: Poland|Country: Portugal|Country: Romania|Country: Russia|Country: Spain|Country: Sweden|Country: Turkey|Country: Ukraine|Country: United Kingdom|Country: USA|Power Grid,Economic|Industry / Manufacturing,2119,8.13624
142,176494,isle-skye-chieftain-king,Auction/Bidding|Set Collection|Tile Placement,Country: Scotland,Economic|Territory Building,8919,7.51863
143,27708,1960-making-president,Area Control / Area Influence|Campaign / Battle Card Driven|Hand Management,Country: USA|Political: Elections,Political,6990,7.56553
